"id","level","class_name","article","status","source","create_date","target_url"
1633732,"FATAL","Faraday::ResourceNotFound","10.3125/rsr.v5i0.57",404,NA,"2014-11-12T21:35:53Z","http://dx.doi.org/10.3125/rsr.v5i0.57"
1633731,"FATAL","Faraday::ResourceNotFound","10.3125/cip.v14i1.360",404,NA,"2014-11-12T21:35:50Z","http://dx.doi.org/10.3125/cip.v14i1.360"
1633729,"FATAL","Faraday::ResourceNotFound","10.4314/sajas.v40i5.65262",404,NA,"2014-11-12T21:34:45Z","http://www.ajol.info/index.php/sajas/index"
1633728,"FATAL","Faraday::ResourceNotFound","10.5586/mb.1980.002",404,NA,"2014-11-12T21:34:44Z","https://pbsociety.org.pl/journals/index.php/asbp/index"
1633727,"FATAL","Faraday::ResourceNotFound","10.3125/econst.v295i12.237",404,NA,"2014-11-12T21:34:26Z","http://dx.doi.org/10.3125/econst.v295i12.237"
1633726,"FATAL","Faraday::ResourceNotFound","10.3125/asean.v23i1.412",404,NA,"2014-11-12T21:34:23Z","http://dx.doi.org/10.3125/asean.v23i1.412"
1633724,"ERROR","Net::HTTPNotAcceptable","10.5700/rege457",406,NA,"2014-11-12T21:34:11Z","http://dx.doi.org/10.5700/rege457"
1633723,"FATAL","Faraday::ResourceNotFound","10.3125/jstd.v10i1.351",404,NA,"2014-11-12T21:34:03Z","http://dx.doi.org/10.3125/jstd.v10i1.351"
1633722,"FATAL","Faraday::ResourceNotFound","10.3125/asean.v23i1.406",404,NA,"2014-11-12T21:33:57Z","http://dx.doi.org/10.3125/asean.v23i1.406"
1633721,"FATAL","Faraday::ResourceNotFound","10.3125/rsr.v2i0.23",404,NA,"2014-11-12T21:33:52Z","http://dx.doi.org/10.3125/rsr.v2i0.23"
1633720,"ERROR","Net::HTTPNotAcceptable","10.5700/rege404",406,NA,"2014-11-12T21:33:51Z","http://dx.doi.org/10.5700/rege404"
1633718,"FATAL","Faraday::ResourceNotFound","10.1080/17482970601053866",404,NA,"2014-11-12T21:33:48Z","http://dx.doi.org/10.1080/17482970601053866"
1633717,"FATAL","Faraday::ResourceNotFound","10.3125/vss.v105i0.267",404,NA,"2014-11-12T21:33:45Z","http://dx.doi.org/10.3125/vss.v105i0.267"
1633716,"FATAL","Faraday::ResourceNotFound","10.3125/asean.v23i1.414",404,NA,"2014-11-12T21:33:39Z","http://dx.doi.org/10.3125/asean.v23i1.414"
1633715,"FATAL","Faraday::ResourceNotFound","10.1111/tea.ahead-of-print",404,NA,"2014-11-12T21:33:36Z","http://dx.doi.org/10.1111/tea.ahead-of-print"
1633714,"ERROR","Faraday::ResourceNotFound","10.4322/sc.2014.020",404,NA,"2014-11-12T21:33:29Z","http://www.scientiachromatographica.com/doi/10.4322/sc.2014.020"
1633712,"FATAL","Faraday::ResourceNotFound","10.4081/dcth.2013.218",404,NA,"2014-11-12T21:33:23Z","http://dx.doi.org/10.4081/dcth.2013.218"
1633713,"FATAL","Faraday::ResourceNotFound","10.1590/1679-775720130229",404,NA,"2014-11-12T21:33:23Z","http://dx.doi.org/10.1590/1679-775720130229"
1633711,"FATAL","Faraday::ResourceNotFound","10.4314/gjf.v11i2.36891",404,NA,"2014-11-12T21:33:15Z","http://www.ajol.info/index.php/gjf/index"
1633710,"ERROR","Net::HTTPNotAcceptable","10.5700/rege350",406,NA,"2014-11-12T21:32:49Z","http://dx.doi.org/10.5700/rege350"
1633709,"FATAL","Faraday::ResourceNotFound","10.3125/vss.v104i0.284",404,NA,"2014-11-12T21:32:48Z","http://dx.doi.org/10.3125/vss.v104i0.284"
1633708,"ERROR","Net::HTTPNotAcceptable","10.5700/rege482",406,NA,"2014-11-12T21:32:47Z","http://dx.doi.org/10.5700/rege482"
1633706,"ERROR","Net::HTTPNotAcceptable","10.5700/rege351",406,NA,"2014-11-12T21:32:25Z","http://dx.doi.org/10.5700/rege351"
1633705,"FATAL","Faraday::ResourceNotFound","10.4314/sajas.v40i5.65344",404,NA,"2014-11-12T21:32:16Z","http://www.ajol.info/index.php/sajas/index"
1633704,"FATAL","Faraday::ResourceNotFound","10.3125/jstd.v10i3.435",404,NA,"2014-11-12T21:32:09Z","http://dx.doi.org/10.3125/jstd.v10i3.435"
1633703,"ERROR","Net::HTTPNotAcceptable","10.5700/rege409",406,NA,"2014-11-12T21:32:08Z","http://dx.doi.org/10.5700/rege409"
1633702,"ERROR","Net::HTTPNotAcceptable","10.5700/rege351",406,NA,"2014-11-12T21:31:46Z","http://dx.doi.org/10.5700/rege351"
1633701,"FATAL","Faraday::ResourceNotFound","10.3125/jstd.v9i12.366",404,NA,"2014-11-12T21:31:17Z","http://dx.doi.org/10.3125/jstd.v9i12.366"
1633700,"FATAL","Faraday::ResourceNotFound","10.1590/1679-775720130002",404,NA,"2014-11-12T21:31:13Z","http://dx.doi.org/10.1590/1679-775720130002"
1633699,"FATAL","Faraday::ResourceNotFound","10.1002/(sici)1234-987x(199607)9:4<135::aid-meh422>3.3.co;2-#",404,NA,"2014-11-12T21:31:00Z","http://dx.doi.org/10.1002/(sici)1234-987x(199607)9:4%3C135::aid-meh422%3E3.3.co;2-#"
1633697,"FATAL","Faraday::ResourceNotFound","10.4081/thal.2014.s1.1963",404,NA,"2014-11-12T21:30:50Z","http://www.pagepressjournals.org/index.php/thal/index"
1633695,"FATAL","Faraday::ResourceNotFound","10.3125/asean.v23i3.422",404,NA,"2014-11-12T21:30:47Z","http://dx.doi.org/10.3125/asean.v23i3.422"
1633694,"FATAL","Faraday::ResourceNotFound","10.1080/17482970600965821",404,NA,"2014-11-12T21:30:16Z","http://dx.doi.org/10.1080/17482970600965821"
1633691,"FATAL","Faraday::ResourceNotFound","10.1002/(sici)1234-987x(199607)9:4<135::aid-meh422>3.3.co;2-#",404,NA,"2014-11-12T21:30:09Z","http://dx.doi.org/10.1002/(sici)1234-987x(199607)9:4%3C135::aid-meh422%3E3.3.co;2-#"
1633690,"FATAL","Faraday::ResourceNotFound","10.1590/1678-775720130318",404,NA,"2014-11-12T21:30:03Z","http://dx.doi.org/10.1590/1678-775720130318"
1633689,"FATAL","Faraday::ResourceNotFound","10.4314/njphy.v17i3.38033",404,NA,"2014-11-12T21:29:46Z","http://www.ajol.info/index.php/njphy/index"
1633688,"FATAL","Faraday::ResourceNotFound","10.1590/S1807-17752014000100011",404,NA,"2014-11-12T21:29:28Z","http://dx.doi.org/10.1590/S1807-17752014000100011"
